,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
0,1,0.6,0.2,0.57,0.0,0.0011434211186215411,0.0843833821258683,0.0,0.2,0.049454201012849815
1,1,0.2,0.2,0.15,0.0,0.023611316135999597,0.7381469489534738,0.2,0.2,0.31945040822029114
2,1,0.4,0.0,0.41,0.0,0.9414113697098221,0.7087585908208972,0.4,0.6,0.8327032923698425
3,1,0.2,0.2,0.33,0.0,0.8899957065315245,0.19168787593935932,0.2,0.6,0.4690514504909515
4,1,0.0,0.2,0.23,0.0,0.0012136315139724652,0.008144529701935103,0.0,0.2,0.010292477905750276
5,1,0.2,0.2,0.36,0.4,0.010043893739783491,0.5290849277314708,0.2,0.4,0.08062005043029785
6,1,0.0,0.0,0.04,0.0,0.002435106538263161,0.002987782558102997,0.0,0.2,0.0018450560746714477
7,1,0.4,0.2,0.395,0.0,0.2972634216537535,0.025880094258550486,0.2,0.6,0.05194659903645515
8,1,0.0,0.0,0.0,0.2,0.04202793310425278,0.06028021974217127,0.2,0.2,0.5326116681098938
9,1,0.4,0.0,0.05,0.0,0.006337659759208892,0.0004147359345139084,0.0,0.0,0.31137749552726746
10,1,0.4,0.4,0.5,0.4,0.0005662073641640817,0.0058933939906333005,0.0,0.4,0.2828125357627869
11,1,0.0,0.0,0.14,0.0,6.444780147046682e-05,0.054648569179528865,0.4,0.0,0.0008885817951522768
12,1,0.0,0.0,0.18,0.0,0.06604437477174438,0.004000335005966528,0.2,0.0,0.11593637615442275
13,1,0.2,0.2,0.25,0.0,0.1371322099707041,0.4221672659412553,0.2,0.6,0.14842931926250458
14,1,0.6,0.8,0.37,0.4,0.11623584193500335,0.9121838776120004,0.0,0.6,0.8995022773742676
15,1,0.6,0.6,0.51,0.4,0.9996965874883808,0.7412925928145175,0.6,0.2,0.9937314391136168
16,1,0.6,0.6,0.71,0.6,0.977080961679948,0.5892580036355813,0.6,0.8,0.8391009569168091
17,1,0.8,0.6,0.91,0.8,0.9161026327498836,0.928528144211098,0.2,0.6,0.3392883837223053
18,1,0.4,0.4,0.53,0.4,0.01556157291613529,0.0729050056373923,0.2,0.6,0.4314886629581451
19,1,0.2,0.2,0.36,0.2,0.003249221578483033,0.3328207713960293,0.0,0.4,0.05251753330230713
20,1,0.6,0.8,0.45,0.4,0.910257873173448,0.7834837876940259,0.4,0.8,0.905157506465912
21,1,0.6,0.6,0.31,0.6,0.5482670976432571,0.9712305664788374,0.2,0.2,0.7491121888160706
22,1,0.6,0.4,0.22,0.2,0.01802361234408316,0.1562462250731715,0.0,0.2,0.8291299939155579
23,1,0.8,0.6,0.73,0.8,0.999975243817202,0.9899303251657718,0.4,0.4,0.9685440063476562
24,1,0.8,1.0,0.85,1.0,0.9998675588967636,0.999234443450823,0.4,0.4,0.9702566266059875
25,1,0.2,0.0,0.2,0.0,0.0037156347422468475,0.13641247610841772,0.0,0.6,0.011722555384039879
26,1,0.6,0.6,0.59,0.4,0.9711176636251194,0.7285760407916979,0.2,0.6,0.9832459688186646
27,1,0.8,0.2,0.27,0.8,0.0052208706458773905,0.398729266920674,0.2,0.4,0.7399515509605408
28,1,0.4,0.0,0.3,0.0,3.4294581887138124e-05,0.047152807131884085,0.0,0.2,0.021555952727794647
29,1,0.6,0.2,0.28,0.4,0.01973588352981684,0.5182252281659817,0.0,0.2,0.09378283470869064
30,1,0.6,0.2,0.39,0.6,0.6927551721423361,0.5763684404346378,0.2,0.8,0.20095770061016086
31,1,0.2,0.0,0.34,0.0,0.14071676201271618,0.013293918798446687,0.0,0.2,0.0063472194597125045
32,1,0.4,0.2,0.57,0.4,0.4766535709289453,0.21601584721454994,0.2,0.6,0.013309952802956104
33,1,0.4,0.2,0.43,0.4,0.030285701758241024,0.9196006015323468,0.4,0.4,0.006719968281686306
34,1,0.2,0.4,0.22,0.2,0.0006045925419627871,0.1571229924729195,0.0,0.4,0.002761861309409141
35,1,0.8,0.4,0.37,0.8,0.0047979754237015846,0.7320560421333052,0.2,0.2,0.14493146538734436
36,1,0.2,0.0,0.18,0.2,0.31168940060651423,0.09897796504918364,0.0,0.0,0.04455258324742317
37,1,1.0,1.0,0.98,1.0,0.9999938992913828,0.9765634816487996,1.0,1.0,0.9986873269081116
38,1,1.0,0.6,0.91,0.4,0.9999222851656556,0.8671693986734756,0.2,0.4,0.9910206198692322
39,1,0.4,0.0,0.76,0.2,0.007825822783152334,0.2904023522340588,0.4,0.6,0.4349406361579895
40,1,0.8,0.0,0.55,0.2,0.0012232108283319896,0.04267681292936009,0.4,0.6,0.9571992754936218
41,1,1.0,0.0,0.78,1.0,0.7939259701302387,0.9996105391188926,0.6,0.4,0.9904849529266356
42,1,1.0,1.0,0.87,1.0,0.9975715326259904,0.9919607746302096,1.0,0.8,0.9991833567619324
43,1,1.0,1.0,0.94,1.0,0.9966928785743212,0.9613462936070976,1.0,0.8,0.9943217039108276
44,1,0.8,0.2,0.62,0.8,7.742942842788459e-05,0.5357149036591091,0.4,0.6,0.044244851917028434
45,1,0.8,0.8,0.73,0.8,0.3699259781099643,0.9309795167430484,0.8,0.6,0.32580623030662537
46,1,0.6,0.4,0.62,0.6,0.9948887254715074,0.8886670736215707,0.8,0.0,0.8744612336158752
47,1,0.8,0.0,0.85,0.2,0.9819907844459546,0.9937423095366,0.6,0.4,0.9740964770317078
48,1,1.0,0.0,0.61,0.4,0.15051040501686894,0.9481572561642484,0.2,0.6,0.9514998197555542
49,1,1.0,0.8,0.86,0.4,0.9999932436447994,0.25253021138775283,0.4,0.2,0.9930610060691832
50,1,0.8,0.0,0.73,0.8,0.0003129572897922945,0.9999568386161533,0.8,0.6,0.7933278083801271
51,1,1.0,1.0,0.76,0.8,0.9999555500910424,0.9705959883460894,0.6,0.4,0.9798893332481384
52,1,0.8,0.8,0.89,1.0,0.8777923863336501,0.9911723685927964,0.4,0.6,0.7636902928352356
53,1,0.6,0.8,0.63,1.0,0.9999088521076512,0.9304290631302372,0.4,0.6,0.9690564274787904
54,1,0.6,1.0,0.59,1.0,0.9814724610880844,0.9717947192476925,0.8,1.0,0.9421508908271791
55,1,0.8,1.0,0.96,1.0,0.9999990458733884,0.9991715292078156,1.0,1.0,0.9919509887695312
56,1,1.0,1.0,1.0,1.0,0.9999982606309028,0.999544777529386,1.0,1.0,0.9999417066574096
57,1,1.0,1.0,0.98,1.0,0.9999998694146928,0.9991303863274764,1.0,1.0,0.99979430437088
58,1,1.0,1.0,0.83,1.0,0.9999899093264556,0.998017939020212,1.0,0.8,0.9961296319961548
59,1,1.0,1.0,0.86,1.0,0.9999447340695256,0.9848927788586002,1.0,0.8,0.9969991445541382
60,1,1.0,1.0,0.65,1.0,0.9999504246173724,0.9990493559382404,0.4,0.6,0.9848137497901917
61,1,0.8,0.0,0.36,0.0,9.15921066029085e-05,0.00032679530246315565,0.0,0.0,0.8583397269248962
62,1,1.0,1.0,0.91,1.0,0.9999257564866592,0.9949257509195678,1.0,1.0,0.9941220879554749
63,1,1.0,1.0,1.0,1.0,0.999999871710492,0.9999750025482912,1.0,1.0,0.99974125623703
64,1,1.0,0.6,0.7,0.8,0.7525013597935429,0.0494564666293817,1.0,0.8,0.7274344563484192
65,1,0.8,0.4,0.54,0.4,0.9277335396350694,0.02246535327870239,0.8,0.2,0.4333755075931549
66,1,0.8,1.0,0.66,1.0,0.9999952103992704,0.9973260682356676,0.4,1.0,0.986627995967865
67,1,1.0,1.0,0.99,1.0,0.9999990169887384,0.9998452659616334,1.0,1.0,0.9998935461044312
68,1,1.0,1.0,0.9,1.0,0.9989134068943674,0.9801751655671109,0.6,0.6,0.9699260592460632
69,1,1.0,1.0,0.56,1.0,0.9986941314121208,0.9887378303773884,0.6,0.8,0.962307333946228
70,1,0.4,0.2,0.33,0.0,0.045769659244929685,0.055843850598219384,0.0,0.4,0.8003950119018555
71,1,0.8,1.0,0.64,0.2,0.13599570971367525,0.01153394125546963,0.8,0.2,0.913560152053833
72,1,1.0,0.2,0.57,0.4,0.2284356871588049,0.061183968084814085,0.4,0.6,0.66780686378479
73,1,0.8,0.0,0.45,0.2,0.02156386390568221,0.40444086054850653,0.2,0.6,0.8963546156883241
74,1,1.0,0.0,0.85,0.4,0.06121623008782868,0.9775303670419794,0.4,0.4,0.7483486533164978
75,1,0.4,0.0,0.42,0.2,0.0029384690177887674,0.3404857098721638,0.0,0.2,0.9183598160743712
76,1,1.0,0.0,0.56,0.4,0.7954793340526742,0.2011082422988484,0.2,0.6,0.9484757781028748
77,1,0.8,0.0,0.73,0.2,0.0006452185025615894,0.9987129186660371,0.4,0.8,0.9407463669776917
78,1,1.0,0.8,0.64,0.8,0.9999678055105228,0.8163778251344541,0.4,1.0,0.9947127699851991
79,1,1.0,0.2,0.635,0.6,0.9999883234970084,0.9999496109323714,0.2,0.2,0.974242627620697
80,1,0.6,0.6,0.57,0.2,0.5471563905953108,0.512044679961554,0.4,0.0,0.18206658959388733
81,1,1.0,0.4,0.65,0.2,0.00032746256161503013,0.8979887765753805,0.2,0.0,0.8520433306694031
82,1,0.6,0.2,0.38,0.0,0.9327410374252242,0.04378792339883046,0.0,0.6,0.962621808052063
83,1,0.8,0.0,0.59,0.0,0.0011280311970906047,0.023888704775048227,0.0,1.0,0.2825354039669037
84,1,0.8,0.2,0.59,0.2,0.999407087461732,0.27180009877345623,0.0,0.2,0.8890612721443176
85,1,0.8,0.0,0.33,0.2,0.07488300287333613,0.1888843443470728,0.0,0.4,0.9796440601348876
86,1,1.0,0.2,0.6,0.4,0.8864624162622095,0.4650725702388595,0.4,0.6,0.8734817504882812
87,1,1.0,0.0,0.61,0.2,0.2534910868729962,0.9996435441827544,0.6,1.0,0.9627249836921692
88,1,1.0,0.0,0.59,0.6,0.9993308386181432,0.9935602190574804,0.4,1.0,0.9806219339370728
89,1,0.4,0.0,0.53,0.2,6.990283701513134e-05,0.663651600093349,0.6,0.2,0.031635168939828866
90,1,1.0,0.8,0.69,1.0,0.9982113851083676,0.9955107391927348,0.4,0.8,0.9646390080451964
91,1,1.0,1.0,0.97,1.0,0.9999994955455952,0.9911144989430788,1.0,1.0,0.9988024234771729
92,1,1.0,1.0,0.83,1.0,0.9996486316792502,0.9753483129283448,0.8,0.4,0.9856276512145996
93,1,1.0,1.0,0.87,1.0,0.9991576907860316,0.964628140971746,1.0,0.8,0.9910990595817566
94,1,0.8,0.4,0.62,0.6,0.9986667458552604,0.6803243728137305,0.4,0.4,0.9880546927452089
95,1,1.0,0.6,0.62,0.6,0.9485370656080518,0.2989453319506243,0.8,0.4,0.7380602359771729
96,1,1.0,1.0,0.88,1.0,0.9999913890487412,0.9781718901110468,1.0,1.0,0.9993426203727722
97,1,1.0,1.0,0.84,1.0,0.9999948908450268,0.9724386259804602,1.0,1.0,0.9994057416915894
98,1,1.0,1.0,0.95,1.0,0.999999752155346,0.9836528475256402,1.0,1.0,0.9997425675392152
99,1,1.0,1.0,0.98,1.0,0.9999998686236484,0.9930548508806644,1.0,0.8,0.9998291730880736
100,1,1.0,1.0,0.91,1.0,0.999996910039148,0.9665492852692924,1.0,0.8,0.9999253749847412
101,1,1.0,1.0,0.99,1.0,0.9999998555958568,0.9983760538416172,1.0,1.0,0.9997947812080384
102,1,1.0,1.0,1.0,1.0,0.9999994933679186,0.9997246568414688,1.0,1.0,0.9997542500495912
103,1,1.0,1.0,0.94,1.0,0.999997251000578,0.9955031637667054,1.0,0.8,0.9998728036880492
104,1,1.0,1.0,1.0,1.0,0.999999317094289,0.999153651817032,1.0,1.0,0.999835968017578
105,1,1.0,1.0,1.0,1.0,0.9999996085950792,0.999742673145694,1.0,1.0,0.9995885491371156
106,1,1.0,1.0,0.98,1.0,0.9999965378668731,0.9979079277318345,1.0,1.0,0.9997621178627014
107,1,1.0,1.0,1.0,1.0,0.999999369457275,0.9998968721971276,1.0,1.0,0.9999462366104126
108,1,1.0,1.0,1.0,1.0,0.9999993719722854,0.9999050096068478,1.0,1.0,0.9996033310890198
109,1,1.0,1.0,0.99,1.0,0.9999995959816751,0.9995249746393702,1.0,0.8,0.9996399879455566
110,1,1.0,1.0,0.95,1.0,0.9999963223377452,0.9981082041305366,1.0,1.0,0.9996904134750366
111,1,1.0,1.0,1.0,1.0,0.9999993868628548,0.9998040309761186,1.0,1.0,0.9996471405029296
112,1,1.0,1.0,0.98,1.0,0.9999952622960808,0.9794078477127738,1.0,1.0,0.9998847246170044
113,1,1.0,1.0,0.99,1.0,0.9999965585600741,0.9990980085434134,1.0,0.8,0.999444305896759
114,1,1.0,1.0,1.0,1.0,0.9999987988908074,0.9975787887936182,1.0,1.0,0.9999053478240968
115,1,1.0,1.0,1.0,1.0,0.9999988928566024,0.9974360014082828,1.0,1.0,0.9995768666267396
116,1,1.0,1.0,0.99,1.0,0.9999984387034966,0.9950193856947692,1.0,1.0,0.9997718930244446
117,1,1.0,1.0,0.98,1.0,0.9999996115665648,0.9970734842152834,1.0,1.0,0.9995859265327454
118,1,1.0,1.0,1.0,1.0,0.9999998629721376,0.9973551374791404,1.0,0.8,0.9994710087776184
119,1,1.0,1.0,1.0,1.0,0.9999992787513532,0.998982992090396,1.0,1.0,0.9995545744895936
120,1,1.0,1.0,1.0,1.0,0.9999975020464664,0.9997507174792368,1.0,1.0,0.9999384880065918
121,1,1.0,1.0,0.94,1.0,0.9999991539951184,0.9979996071549228,1.0,1.0,0.9991135001182556
122,1,1.0,1.0,0.98,1.0,0.9999997770244649,0.9980185857905508,1.0,1.0,0.9998912811279296
123,1,1.0,1.0,0.98,1.0,0.9999990361210944,0.9977245040438916,1.0,1.0,0.9996447563171388
124,1,1.0,1.0,0.69,1.0,0.011311148138203123,0.9983667575015868,1.0,1.0,0.769944429397583
125,1,1.0,0.8,0.69,1.0,0.9988530168682712,0.9919200724786428,0.8,0.6,0.8239787817001343
126,1,1.0,1.0,0.84,1.0,0.9998254214132152,0.9938336349818956,1.0,0.6,0.8642935156822205
127,1,1.0,0.8,0.86,1.0,0.9935901025369136,0.9935552178587818,1.0,1.0,0.9846624135971068
128,1,1.0,0.8,0.63,1.0,0.990727068926964,0.9871402844152044,0.6,0.8,0.9364647865295409
129,1,0.8,1.0,0.74,1.0,0.9998853832661936,0.9821816646648068,1.0,0.4,0.9923192858695984
130,1,1.0,0.8,0.92,1.0,0.9975864240002112,0.953127659062616,1.0,1.0,0.9925720095634459
131,1,0.8,0.4,0.79,1.0,0.9877171528974178,0.8447050185576777,0.6,0.6,0.7232529520988464
132,1,1.0,1.0,0.94,1.0,0.9999987761824314,0.9989893694727914,1.0,0.8,0.9998964071273804
133,1,0.0,0.0,0.35,0.0,0.006763240376459736,0.06607806660907528,0.2,0.2,0.6319987773895264
134,1,0.6,0.0,0.33,0.0,0.00016674270611566255,0.00022387456551155045,0.0,0.2,0.17539732158184052
135,1,0.4,0.0,0.51,0.4,0.008750739637519371,0.34803946925088025,0.0,0.4,0.6177657246589661
136,1,1.0,0.6,0.93,0.6,0.9999370174169244,0.9997223805794956,0.6,0.6,0.9816948771476746
137,1,0.4,1.0,0.93,0.6,0.9993126675849348,0.7724271484952651,1.0,0.6,0.9913560152053832
138,1,0.8,0.8,0.72,0.6,0.9994447838323268,0.8392170681178847,0.8,0.2,0.9867895245552064
139,1,0.8,0.8,0.67,0.8,0.999511504264454,0.9778608513525824,0.8,0.8,0.9383308887481691
140,1,1.0,0.4,0.66,0.8,0.9436753475188571,0.9909269831965544,0.2,0.4,0.8633849024772644
141,1,0.8,0.6,0.86,0.6,0.9955712197159942,0.9999897387613806,0.8,0.2,0.9924986958503724
142,1,1.0,0.4,0.52,0.4,0.002388554363994652,0.7163973517137635,0.2,0.6,0.881804347038269
143,1,0.6,1.0,0.84,1.0,0.9995536236055445,0.9552689316130204,1.0,1.0,0.9943828582763672
144,1,0.6,0.4,0.67,0.8,0.08679251413754269,0.9828468286667532,0.6,1.0,0.4060753285884857
145,1,0.2,0.2,0.32,0.4,0.014420346840701337,0.0006058295974199037,0.4,0.8,0.3929683864116669
146,1,1.0,1.0,0.99,1.0,0.9999999294081564,0.9999779405593716,1.0,1.0,0.9996497631072998
147,1,1.0,1.0,0.98,1.0,0.9999998927043472,0.9989967824775626,1.0,1.0,0.9998675584793092
148,1,0.8,0.6,1.0,0.6,0.9928209990581006,0.8204108090268606,0.6,0.4,0.967990517616272
149,1,1.0,1.0,0.95,1.0,0.999949891438874,0.9889669996302732,1.0,1.0,0.9972922205924988
150,1,1.0,1.0,0.87,1.0,0.9997697547429673,0.9978126414258816,1.0,1.0,0.9944000840187072
151,1,1.0,1.0,0.8,1.0,0.9971749081999968,0.9944234499947596,0.8,1.0,0.9942052960395812
152,1,1.0,1.0,1.0,1.0,0.9999987047395026,0.999741957757521,1.0,1.0,0.9998649358749391
153,1,0.6,0.8,1.0,0.6,0.9979700640297096,0.6920433925119064,0.8,0.6,0.9876247644424438
154,1,0.4,1.0,0.99,1.0,0.9948462660648952,0.9640917007024846,0.8,1.0,0.9837912321090698
155,1,1.0,0.4,0.98,1.0,0.9928276069273272,0.9980524487453056,1.0,1.0,0.9974040389060974
156,1,1.0,1.0,0.9,1.0,0.9823167672731996,0.9934804784071748,1.0,1.0,0.8854138255119324
157,1,1.0,0.2,0.75,0.4,0.9999046851010116,0.8952456022002978,0.2,0.8,0.9758388996124268
158,1,1.0,1.0,0.99,1.0,0.9999755609208449,0.9998147485667792,0.8,0.6,0.979973077774048
159,1,1.0,0.2,0.93,0.2,0.9976829933238904,0.4870824728460508,0.4,0.8,0.9799567461013794
160,1,1.0,0.6,0.68,0.8,0.9999969197856582,0.9999969024157066,0.6,0.8,0.98830646276474
161,1,0.8,1.0,0.99,1.0,0.9990034320830444,0.9751536940803234,0.8,0.8,0.9700248241424559
162,1,0.8,0.8,0.79,0.6,0.9927729172540024,0.9999998919399156,0.2,0.4,0.9946488738059998
163,1,1.0,0.2,1.0,0.6,0.9985221115372268,0.9668505734184027,0.6,0.8,0.97687429189682
164,1,1.0,0.0,1.0,0.4,0.6667917602936451,0.5474349301705899,0.4,0.2,0.9542535543441772
165,1,0.8,0.0,1.0,0.4,1.4877408790688844e-06,0.5275990603504536,0.4,0.4,0.2775500416755676
166,1,0.8,0.0,1.0,0.0,0.9246847439991288,9.82038127280827e-09,0.4,0.6,0.9389107823371888
167,1,0.2,0.0,1.0,0.4,3.0103595501867157e-05,0.0018595330861860644,0.4,0.2,0.853071928024292
168,1,1.0,0.8,0.87,1.0,0.9999093869757464,0.999481530803008,0.8,0.0,0.9774366021156312
169,1,1.0,0.2,1.0,0.6,0.998803766137417,0.97333478265275,0.6,0.8,0.9476041793823242
170,1,1.0,0.6,1.0,0.6,0.2473921236852501,0.2930403155883681,0.6,0.8,0.91596782207489
171,1,1.0,0.2,0.93,0.8,0.9994880461135688,0.9999963538921328,0.6,1.0,0.9572026133537292
172,1,1.0,0.4,1.0,0.8,0.013757176691390913,0.9999845698367918,0.8,0.4,0.8724218010902405
173,1,0.4,1.0,0.71,1.0,0.9973962007264484,0.9899934522386954,1.0,1.0,0.993249535560608
174,1,0.2,0.8,0.96,0.8,0.9930039001724136,0.8750700310797882,0.6,0.8,0.9688924551010132
175,1,1.0,0.8,0.68,1.0,0.9882776684534514,0.9977122906494436,1.0,0.8,0.7261541485786438
176,1,1.0,1.0,0.92,1.0,0.9999879875927792,0.9634326475048871,1.0,1.0,0.995214819908142
177,1,1.0,1.0,0.73,1.0,0.9999764497279078,0.9420333935847384,1.0,1.0,0.9927593469619752
178,1,1.0,1.0,0.92,1.0,0.9999946190384084,0.9786835947957137,1.0,1.0,0.9993451237678528
179,1,1.0,1.0,0.87,1.0,0.9999372239409248,0.995011228562208,1.0,1.0,0.9991188645362854
180,1,0.8,0.8,0.54,0.8,0.9785927593321784,0.8213050602653229,0.4,0.6,0.8421563506126404
181,1,1.0,0.0,0.7,0.4,0.8360753388113621,0.994718262036148,0.6,0.6,0.8456016778945923
182,1,1.0,0.6,0.52,1.0,0.033900596861908217,0.8246746646824863,0.4,1.0,0.41529965400695795
183,1,0.2,0.0,0.32,0.6,0.00029579632436545835,0.08674124878794316,0.2,0.4,0.0069154342636466035
184,1,0.4,0.0,0.49,0.4,0.05944884600594365,0.6287292551044475,0.6,0.8,0.91835618019104
185,1,0.4,0.2,0.58,0.4,0.15426774525834142,0.050545683504865775,0.6,0.4,0.1754169911146164
186,1,0.6,0.8,0.53,0.2,0.0173581050456652,0.14492224725118202,0.4,0.8,0.7602189183235168
187,1,1.0,0.6,0.95,1.0,0.9892272687501448,0.9954013274323096,0.8,1.0,0.9870190620422364
188,1,1.0,0.6,0.57,0.2,2.8364979477508213e-07,0.0019897167120405315,0.2,1.0,0.8273272514343262
189,1,1.0,0.2,0.38,0.2,2.3521581148812887e-09,0.6289803547870474,0.0,0.4,0.9410952925682068
190,1,0.6,0.0,0.65,0.0,3.1809371113738418e-06,0.0054979285235780976,0.0,0.8,0.4019196033477783
191,1,0.4,0.2,0.91,0.6,0.3006887580135405,0.5796448659376937,0.4,0.8,0.9638552665710448
192,1,0.0,0.0,0.68,0.2,0.0014608658619072068,0.005024260263396465,0.2,0.2,0.4508842527866364
193,1,0.6,1.0,0.93,1.0,0.9999999067459686,0.9754607086177828,1.0,0.6,0.9948463439941406
194,1,1.0,1.0,0.75,0.8,0.999992626171966,0.03189731543406076,1.0,0.8,0.995368719100952
195,1,0.6,0.6,0.72,0.8,0.08049005412504845,0.8619808928840159,0.4,0.0,0.7027150988578796
196,1,0.6,0.0,0.99,0.4,0.002969217338488093,0.9830484847792502,0.6,0.2,0.9014549255371094
197,1,0.8,1.0,0.96,0.6,0.9989882882905596,0.8690015210469972,1.0,0.6,0.9951600432395936
198,1,1.0,0.2,0.77,0.2,0.9999988991895976,0.9994994796254394,0.2,0.4,0.9848841428756714
199,1,1.0,0.4,0.67,1.0,0.13280592715243605,0.16099483543110835,1.0,0.8,0.951961636543274
200,1,1.0,0.6,0.69,0.4,0.9979296555383879,0.8669383136001455,0.0,0.2,0.9916856288909912
201,1,0.8,0.6,0.69,0.2,0.9999864155721035,0.8011291151040547,0.0,0.6,0.9936324954032898
202,1,0.8,1.0,0.93,0.8,0.9988149372539168,0.9602924454919004,1.0,0.6,0.9547523856163024
203,1,1.0,1.0,0.89,1.0,0.9967238050428092,0.9994379059512574,1.0,1.0,0.6171043515205383
204,1,1.0,0.6,0.89,1.0,0.9997084421316256,0.9982473980080712,1.0,1.0,0.8246537446975708
205,1,0.8,0.6,0.88,1.0,0.6470694910548477,0.9601337606949276,1.0,1.0,0.058666873723268516
206,1,1.0,0.8,0.58,0.6,0.9999767155765592,0.6904629968480226,0.4,1.0,0.9947127699851991
207,1,1.0,1.0,0.99,1.0,0.9999976828990692,0.9943601215860286,1.0,0.8,0.9994639754295348
208,1,1.0,1.0,0.99,1.0,0.999999876863692,0.9978139735750848,1.0,1.0,0.9998687505722046
209,1,0.8,0.6,0.94,0.4,0.9993093601556752,0.4253440312537933,0.4,0.2,0.967793107032776
